,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
2069048,0,0,57.33,0,0,0,82,0,0,0,0.0,1382,squad,27,0,0.0,0,0.0,0,0,199.2,2,0,0.1538
25967,3,5,217.1,1,0,2,22,1231,1,1,141.8,2091,squad,26,0,2405.0,0,0.0,0,1,3711.0,5,1530,0.92
2896533,0,0,242.7,0,0,0,63,0,0,0,0.0,1361,squad-fpp,28,0,0.0,0,0.0,0,0,593.8,2,0,0.3704
3314281,0,0,100.0,1,0,0,31,0,1,1,13.73,1387,duo-fpp,48,0,0.0,0,11.3,0,0,1150.0,3,0,0.7234
2707511,0,0,63.21,0,0,0,81,0,0,0,0.0,1800,duo-fpp,49,0,0.0,0,0.0,0,0,94.5,2,0,0.1667
3846119,0,1,27.73,0,0,0,61,0,0,0,0.0,1454,duo-fpp,49,1,0.0,0,0.0,0,0,397.3,2,0,0.5
1328587,0,2,0.0,0,0,7,53,0,0,0,0.0,1324,duo,48,1,0.0,0,0.0,0,0,1408.0,4,0,0.617
1559825,1,0,79.37,0,0,1,78,0,0,0,0.0,1820,duo-fpp,50,0,0.0,0,0.0,0,0,491.5,4,0,0.2857
2685017,0,1,100.0,1,0,2,23,0,1,1,138.8,1850,squad-fpp,30,0,1890.0,0,0.0,0,0,2595.0,7,0,0.7931
3022774,0,0,0.0,0,0,0,88,0,0,0,0.0,1369,solo-fpp,96,0,0.0,0,0.0,0,0,20.55,0,0,0.0947
441960,0,0,200.0,2,0,0,22,0,2,1,76.49,1773,squad-fpp,29,0,0.0,0,0.0,0,0,228.6,2,0,0.3571
3464482,0,2,523.8,2,1,2,5,0,4,2,19.07,1345,duo-fpp,50,0,135.2,0,0.0,0,0,715.1,3,0,0.4898
634069,0,3,306.9,2,0,12,13,0,2,1,128.7,1362,squad-fpp,29,0,1374.0,0,0.0,0,0,3121.0,4,0,0.9643
1131967,0,2,200.0,0,0,0,9,1408,2,1,13.33,1847,solo,91,0,2754.0,0,0.0,0,0,1376.0,4,1510,0.7556
1129690,0,0,39.0,0,0,0,78,1000,0,0,0.0,1268,duo-fpp,48,0,0.0,0,0.0,0,0,43.3,1,1500,0.2128
909116,0,0,0.0,0,0,0,68,1372,0,0,0.0,1300,squad,28,0,0.0,0,0.0,0,0,852.7,2,1622,0.4074
2058021,0,0,0.0,0,0,0,96,0,0,0,0.0,1372,duo-fpp,49,0,0.0,0,0.0,0,0,0.0,0,0,0.0
2472095,0,0,40.8,0,0,0,72,1179,0,0,0.0,1464,solo-fpp,98,0,0.0,0,0.0,0,0,78.44,1,1569,0.3196
345603,0,2,183.4,0,0,0,11,1000,2,1,16.08,1360,duo,48,0,2151.0,0,0.0,0,0,958.0,8,1500,0.9362
337319,1,5,818.9,6,3,1,1,1832,5,2,150.7,1779,squad-fpp,26,0,46.36,0,0.0,0,0,1600.0,4,1518,0.8
4039745,0,0,132.1,1,1,0,22,1000,1,1,13.31,1883,duo-fpp,47,0,2844.0,0,0.0,0,0,972.1,5,1500,0.9348
3142799,1,4,217.5,2,0,10,22,0,1,1,17.14,1761,squad-fpp,27,1,4110.0,0,0.0,0,0,3530.0,3,0,0.8462
4179759,0,1,0.0,0,0,0,69,0,0,0,0.0,1807,duo-fpp,49,0,0.0,0,0.0,0,0,226.2,2,0,0.3333
538487,0,1,50.01,0,0,5,49,0,0,0,0.0,1319,duo-fpp,49,0,0.0,0,0.0,0,0,1809.0,3,0,0.7708
46909,0,1,0.0,0,0,1,59,0,0,0,0.0,1397,solo-fpp,95,0,0.0,0,0.0,0,0,497.6,3,0,0.4574
3509892,0,0,0.0,0,0,0,76,0,0,0,0.0,1347,squad-fpp,26,0,0.0,0,0.0,0,0,122.2,2,0,0.12
953452,0,0,0.0,0,0,0,88,0,0,0,0.0,1447,solo,97,0,0.0,0,0.0,0,0,27.06,1,0,0.1042
491480,0,0,0.0,0,0,0,88,0,0,0,0.0,1327,squad-fpp,29,0,0.0,0,0.0,0,0,91.81,0,0,0.0714
4182662,0,0,0.0,0,0,0,70,1414,0,0,0.0,1383,squad-fpp,30,0,0.0,0,0.0,0,0,608.1,3,1498,0.4138
1621426,0,5,200.0,1,1,0,26,0,1,1,63.0,1771,squad-fpp,27,0,6492.0,0,0.0,0,0,2259.0,3,0,0.5769
4071936,0,0,70.07,0,0,0,59,0,0,0,0.0,1866,duo,49,0,0.0,0,0.0,0,0,801.1,2,0,0.5
977793,0,3,98.0,1,0,3,25,0,1,1,3.331,1799,squad,29,0,3138.0,0,0.0,0,0,1433.0,6,0,0.5714
2785226,2,4,151.8,1,0,3,23,0,1,1,24.12,1843,squad-fpp,26,1,7808.0,0,0.0,0,0,3820.0,5,0,1.0
1847738,0,1,130.7,1,1,5,22,1300,1,1,10.6,1478,squad-fpp,27,1,0.0,0,0.0,0,0,1129.0,4,1505,0.8077
1133333,0,0,62.91,0,0,0,77,0,0,0,0.0,1860,duo-fpp,47,0,0.0,0,0.0,0,0,134.6,2,0,0.1739
1063674,0,1,248.8,3,1,3,7,1596,4,3,9.484,1349,squad-fpp,29,0,0.0,0,0.0,0,0,246.8,2,1492,0.1071
